D2PPJJF1,158,1,1,0,0
6GUPQLF1,163,2,0,0,0
PLRTCMF1,153,0,2,0,0
HOC66SF1,158,1,1,0,0
DD6N8XF1,158,1,1,0,0
7XEYDYF1,158,1,1,0,0
W9E3D2G1,163,2,0,0,0
FEFAO6G1,153,0,2,0,0
18S2YCG1,158,1,1,0,0
31HWDEG1,158,1,1,0,0
D4VI7FG1,163,2,0,0,0
3UAGPFG1,163,2,0,0,0
MN95UFG1,158,1,1,0,0
IW2O3GG1,158,1,1,0,0
ROFYRIG1,203,0,2,0,1
QP8EHJG1,153,0,2,0,0
3T3RLKG1,158,1,1,0,0
PFDLGMG1,158,1,1,0,0
V3NRQMG1,163,2,0,0,0
2LVMSRG1,158,1,1,0,0
F738HTG1,163,2,0,0,0
6Y9Y52H1,163,2,0,0,0
WAFD13H1,153,0,2,0,0
G44B24H1,158,1,1,0,0
4W5KDCH1,163,2,0,0,0
JWWFIDH1,158,1,1,0,0
2BYDVFH1,153,0,2,0,0
W82NPGH1,158,1,1,0,0
IZUEHIH1,163,2,0,0,0
ALJOFJH1,158,1,1,0,0
GQQ8JKH1,163,2,0,0,0
VK3G3NH1,158,1,1,0,0
9LZV3NH1,158,1,1,0,0
2SMABOH1,153,0,2,0,0
6ASF7PH1,158,1,1,0,0
WTQI7PH1,163,2,0,0,0
G1CHTRH1,153,0,2,0,0
IZENNSH1,158,1,1,0,0
ZVP6TWH1,163,2,0,0,0
RWWR1XH1,158,1,1,0,0
AVMCWXH1,158,1,1,0,0
TP6KYXH1,153,0,2,0,0
4LHBQYH1,163,2,0,0,0
SLT9OZH1,158,1,1,0,0
EQIDB3I1,158,1,1,0,0
419MB3I1,208,1,1,1,0
44BAO3I1,153,0,2,0,0
I62SO3I1,163,2,0,0,0
H9T415I1,153,0,2,0,0
EE7I25I1,153,0,2,0,0
HQA919I1,158,1,1,0,0
DOMCR9I1,163,2,0,0,0
PY36VAI1,163,2,0,0,0
CWAFXEI1,153,0,2,0,0
J8YX5FI1,153,0,2,0,0
2R9KTHI1,163,2,0,0,0
Q5R3GII1,158,1,1,0,0
BORDKJI1,158,1,1,0,0
5YB99KI1,153,0,2,0,0
E9TGVKI1,163,2,0,0,0
XHSW9MI1,163,2,0,0,0
X737NMI1,158,1,1,0,0
PTOJ6TI1,158,1,1,0,0
1MA93VI1,163,2,0,0,0
GZYJAVI1,163,2,0,0,0
HKRLEVI1,163,2,0,0,0
MBS49YI1,158,1,1,0,0
38ZZ3ZI1,158,1,1,0,0
OF38M6J1,153,0,2,0,0
3EPJT8J1,153,0,2,0,0
EOO9J9J1,158,1,1,0,0
GP2QX9J1,158,1,1,0,0
KNT6IFJ1,163,2,0,0,0
YXX5QHJ1,158,1,1,0,0
RKEYLJJ1,158,1,1,0,0
I4TXIOJ1,163,2,0,0,0
OKPWBSJ1,153,0,2,0,0
C69C3TJ1,153,0,2,0,0
7WDFOTJ1,163,2,0,0,0
BYAV1UJ1,153,0,2,0,0
9X4Q5UJ1,158,1,1,0,0
ZBF4EXJ1,158,1,1,0,0
GF7GKZJ1,163,2,0,0,0
O4PJOZJ1,153,0,2,0,0
FHBMZZJ1,153,0,2,0,0
UDZOH2K1,238,2,1,0,0
NH83J3K1,158,1,1,0,0
B5O794K1,153,0,2,0,0
4THDAAK1,153,0,2,0,0
XP8D8AK1,158,1,1,0,0
WWRPGAK1,163,2,0,0,0
92QBRAK1,153,0,2,0,0
7IVO5BK1,158,1,1,0,0
7Y12GDK1,158,1,1,0,0
7W8PNDK1,158,1,1,0,0
YREPQDK1,158,1,1,0,0
F4RNPJK1,158,1,1,0,0
HZ3D3LK1,158,1,1,0,0
SN7GJLK1,158,1,1,0,0
K6DCFNK1,158,1,1,0,0
3Q6IEPK1,153,0,2,0,0
3Z1F5VK1,159,1,1,0,0
AMLYQVK1,158,1,1,0,0
O8NKBWK1,153,0,2,0,0
YX65SWK1,163,2,0,0,0
33VKEYK1,158,1,1,0,0
V3RZWYK1,153,0,2,0,0
2X46CZK1,158,1,1,0,0
7QGKU6L1,153,0,2,0,0
OOKRV8L1,163,2,0,0,0
K1F9ACL1,158,1,1,0,0
I6JI5DL1,158,1,1,0,0
8I9SGDL1,228,0,3,0,0
E81CRDL1,153,0,2,0,0
5TLTWDL1,153,0,2,0,0
RA5H6EL1,153,0,2,0,0
I5UQ1FL1,153,0,2,0,0
QZZMWFL1,163,2,0,0,0
X6UERIL1,158,1,1,0,0
